* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0

Tag	,	Weight	,	NetA, NetB	,	Device
Defect_Short_1	,	1	,	vdda_pulsed, xdut.xi7.s0	,	xdut.xi7.xi147.xi34.mptrans10
Defect_Short_2	,	1	,	vdda_pulsed, xdut.xi7.s0	,	xdut.xi7.xi147.xi27.mptrans10
Defect_Short_3	,	1	,	vdda_pulsed, xdut.xi7.s0	,	xdut.xi7.xi147.xi30.mptrans10
Defect_Short_4	,	1	,	vdda_pulsed, xdut.xi7.s0_n	,	xdut.xi7.xi147.xi35.mptrans10
Defect_Short_5	,	1	,	vdda_pulsed, xdut.xi7.s0_n	,	xdut.xi7.xi147.xi27.mptrans10
Defect_Short_6	,	1	,	vdda_pulsed, xdut.xi7.s0_n	,	xdut.xi7.xi147.xi30.mptrans10
Defect_Short_7	,	1	,	vdda_pulsed, xdut.xi7.s1	,	xdut.xi7.xi72.xi34.mptrans10
Defect_Short_8	,	1	,	vdda_pulsed, xdut.xi7.s1	,	xdut.xi7.xi72.xi27.mptrans10
Defect_Short_9	,	1	,	vdda_pulsed, xdut.xi7.s1	,	xdut.xi7.xi72.xi30.mptrans10
Defect_Short_10	,	1	,	vdda_pulsed, xdut.xi7.s1_n	,	xdut.xi7.xi72.xi35.mptrans10
Defect_Short_11	,	1	,	vdda_pulsed, xdut.xi7.s1_n	,	xdut.xi7.xi72.xi27.mptrans10
Defect_Short_12	,	1	,	vdda_pulsed, xdut.xi7.s1_n	,	xdut.xi7.xi72.xi30.mptrans10
Defect_Short_13	,	1	,	vdda_pulsed, xdut.xi7.net059	,	xdut.xi7.xi118.mptrans15
Defect_Short_14	,	1	,	vdda_pulsed, xdut.xi7.net014	,	xdut.xi7.xi118.mp10
Defect_Short_15	,	1	,	vdda_pulsed, xdut.xi7.net014	,	xdut.xi7.xi136.mptrans24
Defect_Short_16	,	1	,	vdda_pulsed, xdut.xi7.net057	,	xdut.xi7.xi119.mptrans15
Defect_Short_17	,	1	,	vdda_pulsed, xdut.xi7.net044	,	xdut.xi7.xi119.mp10
Defect_Short_18	,	1	,	vdda_pulsed, xdut.xi7.net044	,	xdut.xi7.xi106.mptrans16
Defect_Short_19	,	1	,	vdda_pulsed, xdut.xi7.net044	,	xdut.xi7.xi137.mptrans24
Defect_Short_20	,	1	,	vdda_pulsed, xdut.xi7.net068	,	xdut.xi7.xi136.mptrans25
Defect_Short_21	,	1	,	vdda_pulsed, xdut.xi7.net068	,	xdut.xi7.xi72.xi49.mptrans10
Defect_Short_22	,	1	,	vdda_pulsed, xdut.xi7.net068	,	xdut.xi7.xi72.xi47.mptrans10
Defect_Short_23	,	1	,	vdda_pulsed, xdut.xi7.net0105	,	xdut.xi7.xi137.mptrans25
Defect_Short_24	,	1	,	vdda_pulsed, xdut.xi7.net0105	,	xdut.xi7.xi147.xi49.mptrans10
Defect_Short_25	,	1	,	vdda_pulsed, xdut.xi7.net0105	,	xdut.xi7.xi147.xi47.mptrans10
Defect_Short_26	,	1	,	vdda_pulsed, xdut.xi7.net050	,	xdut.xi7.xi143.mptrans10
Defect_Short_27	,	1	,	vdda_pulsed, xdut.xi7.net050	,	xdut.xi7.xi107.mptrans16
Defect_Short_28	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mptrans15
Defect_Short_29	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp3
Defect_Short_30	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp3
Defect_Short_31	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp10
Defect_Short_32	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp0
Defect_Short_33	,	1	,	vdda_pulsed, xdut.xi7.xi118.net031	,	xdut.xi7.xi118.mp0
Defect_Short_34	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mptrans15
Defect_Short_35	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp3
Defect_Short_36	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp3
Defect_Short_37	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp10
Defect_Short_38	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp0
Defect_Short_39	,	1	,	vdda_pulsed, xdut.xi7.xi119.net031	,	xdut.xi7.xi119.mp0
Defect_Short_40	,	1	,	vdda_pulsed, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mptrans25
Defect_Short_41	,	1	,	vdda_pulsed, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mptrans23
Defect_Short_42	,	1	,	vdda_pulsed, xdut.xi7.xi136.net39	,	xdut.xi7.xi136.mptrans24
Defect_Short_43	,	1	,	vdda_pulsed, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mptrans25
Defect_Short_44	,	1	,	vdda_pulsed, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mptrans23
Defect_Short_45	,	1	,	vdda_pulsed, xdut.xi7.xi137.net39	,	xdut.xi7.xi137.mptrans24
Defect_Short_46	,	1	,	vdda_pulsed, xdut.xi7.xi106.net27	,	xdut.xi7.xi106.mptrans16
Defect_Short_47	,	1	,	vdda_pulsed, xdut.xi7.xi107.net27	,	xdut.xi7.xi107.mptrans16
Defect_Short_48	,	1	,	disable, xdut.xi5.net26	,	xdut.xi5.mntrans27
Defect_Short_49	,	1	,	disable, xdut.xi5.net26	,	xdut.xi5.mptrans24
Defect_Short_50	,	1	,	ref, xdut.disable	,	xdut.m2
Defect_Short_51	,	1	,	vdda_pulsed, xdut.xi7.xi94.net24	,	xdut.xi7.xi94.mptrans15
Defect_Short_52	,	1	,	vdda_pulsed, xdut.xi7.xi94.net24	,	xdut.xi7.xi94.mptrans14
Defect_Short_53	,	1	,	disable, xdut.xi5.net41	,	xdut.xi5.mptrans24
Defect_Short_54	,	1	,	ref, xdut.vref	,	xdut.m2
Defect_Short_55	,	1	,	vdda_pulsed, xdut.xi7.xi72.net15	,	xdut.xi7.xi72.xi146.mntrans11
Defect_Short_56	,	1	,	vdda_pulsed, xdut.xi7.xi72.net15	,	xdut.xi7.xi72.xi49.mptrans10
Defect_Short_57	,	1	,	vdda_pulsed, xdut.xi7.xi72.net9	,	xdut.xi7.xi72.xi146.mntrans11
Defect_Short_58	,	1	,	vdda_pulsed, xdut.xi7.xi72.net9	,	xdut.xi7.xi72.xi33.mptrans10
Defect_Short_59	,	1	,	vdda_pulsed, xdut.xi7.xi72.net9	,	xdut.xi7.xi72.xi31.mptrans10
Defect_Short_60	,	1	,	vdda_pulsed, xdut.xi7.xi72.net9	,	xdut.xi7.xi72.xi34.mptrans10
Defect_Short_61	,	1	,	vdda_pulsed, xdut.xi7.xi72.net14	,	xdut.xi7.xi72.xi47.mptrans10
Defect_Short_62	,	1	,	vdda_pulsed, xdut.xi7.xi72.net14	,	xdut.xi7.xi72.xi48.mptrans10
Defect_Short_63	,	1	,	vdda_pulsed, xdut.xi7.xi72.net11	,	xdut.xi7.xi72.xi48.mptrans10
Defect_Short_64	,	1	,	vdda_pulsed, xdut.xi7.xi72.net11	,	xdut.xi7.xi72.xi33.mptrans10
