* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net1,Net2,path,device,terminalA,terminalB
TAG	,	Net1	,	Net2	,	Path	,	Device	,	TerminalA	,	TerminalB
bridge_1	,	VSS!	,	VDDc!	,	DUT.I14.I0.M45	,	nreg	,	s	,	g
bridge_2	,	VSS!	,	VDDc!	,	DUT.I14.I138.M45	,	nreg	,	s	,	g
bridge_3	,	VSS!	,	VDDc!	,	DUT.I42.I81.M45	,	nreg	,	s	,	g
bridge_4	,	VSS!	,	VDDc!	,	DUT.I42.I14.I0.M45	,	nreg	,	s	,	g
bridge_5	,	VSS!	,	VDDc!	,	DUT.I42.I14.I138.M45	,	nreg	,	s	,	g
bridge_6	,	VSS!	,	adcclk	,	DUT.I54.ntrans11	,	nreg	,	s	,	d
bridge_7	,	VSS!	,	net020	,	DUT.I51.I9.ntrans27	,	nreg	,	s	,	g
bridge_8	,	VSS!	,	net021	,	DUT.I51.I6.ntrans27	,	nreg	,	s	,	g
bridge_9	,	VSS!	,	net022	,	DUT.I51.I171.ntrans27	,	nreg	,	s	,	g
bridge_10	,	VSS!	,	net04	,	DUT.I51.I171.ntrans26	,	nreg	,	s	,	g
bridge_11	,	VSS!	,	net04	,	DUT.I51.I3.ntrans11	,	nreg	,	s	,	g
bridge_12	,	VSS!	,	net033	,	DUT.I10.I19.ntrans11	,	nreg	,	s	,	g
bridge_13	,	VSS!	,	net033	,	DUT.I14.I34.ntrans11	,	nreg	,	s	,	g
bridge_14	,	VSS!	,	net033	,	DUT.I32.I17.ntrans11	,	nreg	,	s	,	g
bridge_15	,	VSS!	,	net033	,	DUT.I32.M18	,	nreg	,	s	,	g
bridge_16	,	VSS!	,	net033	,	DUT.I32.M16	,	nreg	,	s	,	g
bridge_17	,	VSS!	,	net033	,	DUT.I0.I194.ntrans11	,	nreg	,	s	,	g
bridge_18	,	VSS!	,	net033	,	DUT.I0.M137	,	nreg	,	s	,	g
bridge_19	,	VSS!	,	net033	,	DUT.I57.I19.ntrans11	,	nreg	,	s	,	g
bridge_20	,	VSS!	,	net033	,	DUT.I51.I19.ntrans11	,	nreg	,	s	,	g
bridge_21	,	VSS!	,	net033	,	DUT.I42.I117.ntrans11	,	nreg	,	s	,	g
