* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 2.0
Tag,Net1,Net2,path,device,terminalA,terminalB

Defect_short_1,VSS!,clk,I83.I63.ntrans36,nana,s,g
Defect_short_2,VSS!,disable,I83.I5.ntrans27,nana,s,g
Defect_short_3,VSS!,overvoltage,I83.I62.ntrans27,nana,s,g
Defect_short_4,VSS!,overvoltage,I83.I65.ntrans11,nana,s,d
Defect_short_5,VSS!,undervoltage,I83.I62.ntrans26,nana,s,g
Defect_short_6,VSS!,undervoltage,I83.I64.ntrans11,nana,s,d
Defect_short_7,VSS!,VDDa_pulsed,I83.I137.INSTANCE1.Q1,latpnp,e,c
Defect_short_8,VSS!,VDDa_pulsed,I83.I136.INSTANCE1.Q1,latpnp,e,c
Defect_short_9,VSS!,VDDa_pulsed,I83.I11.I5.INSTANCE1.Q1,latpnp,e,c
Defect_short_10,VSS!,VDDa_pulsed,I83.I69.I5.INSTANCE1.Q1,latpnp,e,c
Defect_short_11,VSS!,VDDa_pulsed,I83.I62.INSTANCE1.Q1,latpnp,e,c
Defect_short_12,VSS!,VDDa_pulsed,I83.I5.INSTANCE1.Q1,latpnp,e,c
Defect_short_13,VSS!,VDDa_pulsed,I83.I41.INSTANCE1.Q1,latpnp,e,c
Defect_short_14,VSS!,VDDa_pulsed,I83.I35.INSTANCE1.Q1,latpnp,e,c
Defect_short_15,VSS!,VDDa_pulsed,I83.I34.INSTANCE1.Q1,latpnp,e,c
Defect_short_16,VSS!,VDDa_pulsed,I83.I20.INSTANCE1.Q1,latpnp,e,c
Defect_short_17,VSS!,VDDa_pulsed,I83.I19.INSTANCE1.Q1,latpnp,e,c
Defect_short_18,VSS!,VDDa_pulsed,I83.I64.INSTANCE1.Q1,latpnp,e,c
Defect_short_19,VSS!,VDDa_pulsed,I83.I65.INSTANCE1.Q1,latpnp,e,c
Defect_short_20,VSS!,VDDa_pulsed,I83.I38.INSTANCE1.Q1,latpnp,e,c
Defect_short_21,VSS!,VDDa_pulsed,I83.I49.INSTANCE1.Q1,latpnp,e,c
Defect_short_22,VSS!,VDDa_pulsed,I83.I37.INSTANCE1.Q1,latpnp,e,c
Defect_short_23,VSS!,VDDa_pulsed,I83.I6.INSTANCE1.Q1,latpnp,e,c
Defect_short_24,VSS!,VDDa_pulsed,I83.I46.INSTANCE1.Q1,latpnp,e,c
Defect_short_25,VSS!,VDDa_pulsed,I83.I47.INSTANCE1.Q1,latpnp,e,c
Defect_short_26,VSS!,VDDa_pulsed,I83.I48.INSTANCE1.Q1,latpnp,e,c
Defect_short_27,VSS!,VDDa_pulsed,I83.I33.INSTANCE1.Q1,latpnp,e,c
Defect_short_28,VSS!,VDDa_pulsed,I83.I31.INSTANCE1.Q1,latpnp,e,c
Defect_short_29,VSS!,VDDa_pulsed,I83.I30.INSTANCE1.Q1,latpnp,e,c
Defect_short_30,VSS!,VDDa_pulsed,I83.I27.INSTANCE1.Q1,latpnp,e,c
Defect_short_31,VSS!,VDDa_pulsed,I83.I23.INSTANCE1.Q1,latpnp,e,c
Defect_short_32,VSS!,VDDa_pulsed,I83.I24.INSTANCE1.Q1,latpnp,e,c
Defect_short_33,VSS!,VDDa_pulsed,I83.I17.INSTANCE1.Q1,latpnp,e,c
Defect_short_34,VSS!,VDDa_pulsed,I83.I18.INSTANCE1.Q1,latpnp,e,c
Defect_short_35,VSS!,VDDa_pulsed,I83.I63.INSTANCE1.Q1,latpnp,e,c
Defect_short_36,VSS!,VDDa_pulsed,I83.I8.I92.INSTANCE1.Q1,latpnp,e,c
Defect_short_37,VSS!,VDDa_pulsed,I83.I40.INSTANCE1.Q1,latpnp,e,c
Defect_short_38,VSS!,VDDa_pulsed,I83.I9.I64.INSTANCE1.Q1,latpnp,e,c
Defect_short_39,VSS!,VDDa_pulsed,I83.I32.I8.INSTANCE1.Q1,latpnp,e,c
Defect_short_40,VSS!,VDDa_pulsed,I83.I32.I7.INSTANCE1.Q1,latpnp,e,c
Defect_short_41,VSS!,VDDa_pulsed,I83.I32.I6.INSTANCE1.Q1,latpnp,e,c
Defect_short_42,VSS!,VDDa_pulsed,I83.I32.I5.INSTANCE1.Q1,latpnp,e,c
Defect_short_43,VSS!,VDDa_pulsed,I83.I32.I4.INSTANCE1.Q1,latpnp,e,c
Defect_short_44,VSS!,VDDa_pulsed,I83.I32.I3.INSTANCE1.Q1,latpnp,e,c
Defect_short_45,VSS!,VDDa_pulsed,I83.I32.I2.INSTANCE1.Q1,latpnp,e,c
Defect_short_46,VSS!,VDDa_pulsed,I83.I32.I1.INSTANCE1.Q1,latpnp,e,c
Defect_short_47,VSS!,VDDa_pulsed,I83.I32.I105.INSTANCE1.Q1,latpnp,e,c
Defect_short_48,VSS!,VDDa_pulsed,I83.I68.I8.INSTANCE1.Q1,latpnp,e,c
Defect_short_49,VSS!,VDDa_pulsed,I83.I68.I7.INSTANCE1.Q1,latpnp,e,c
Defect_short_50,VSS!,VDDa_pulsed,I83.I68.I6.INSTANCE1.Q1,latpnp,e,c
Defect_short_51,VSS!,VDDa_pulsed,I83.I68.I5.INSTANCE1.Q1,latpnp,e,c
Defect_short_52,VSS!,VDDa_pulsed,I83.I68.I4.INSTANCE1.Q1,latpnp,e,c
Defect_short_53,VSS!,VDDa_pulsed,I83.I68.I3.INSTANCE1.Q1,latpnp,e,c
Defect_short_54,VSS!,VDDa_pulsed,I83.I68.I2.INSTANCE1.Q1,latpnp,e,c
Defect_short_55,VSS!,VDDa_pulsed,I83.I68.I1.INSTANCE1.Q1,latpnp,e,c
Defect_short_56,VSS!,VDDa_pulsed,I83.I68.I105.INSTANCE1.Q1,latpnp,e,c
Defect_short_57,VSS!,VDDa_pulsed,I83.I7.I118.INSTANCE1.Q1,latpnp,e,c
Defect_short_58,VSS!,VDDa_pulsed,I83.I7.I119.INSTANCE1.Q1,latpnp,e,c
Defect_short_59,VSS!,VDDa_pulsed,I83.I7.I136.INSTANCE1.Q1,latpnp,e,c
Defect_short_60,VSS!,VDDa_pulsed,I83.I7.I137.INSTANCE1.Q1,latpnp,e,c
Defect_short_61,VSS!,VDDa_pulsed,I83.I7.I34.INSTANCE1.Q1,latpnp,e,c
Defect_short_62,VSS!,VDDa_pulsed,I83.I7.I38.INSTANCE1.Q1,latpnp,e,c
Defect_short_63,VSS!,VDDa_pulsed,I83.I7.I46.INSTANCE1.Q1,latpnp,e,c
Defect_short_64,VSS!,VDDa_pulsed,I83.I7.I47.INSTANCE1.Q1,latpnp,e,c
Defect_short_65,VSS!,VDDa_pulsed,I83.I7.I20.INSTANCE1.Q1,latpnp,e,c
Defect_short_66,VSS!,VDDa_pulsed,I83.I7.I19.INSTANCE1.Q1,latpnp,e,c
Defect_short_67,VSS!,VDDa_pulsed,I83.I7.I48.INSTANCE1.Q1,latpnp,e,c
Defect_short_68,VSS!,VDDa_pulsed,I83.I7.I143.INSTANCE1.Q1,latpnp,e,c
Defect_short_69,VSS!,VDDa_pulsed,I83.I7.I49.INSTANCE1.Q1,latpnp,e,c
Defect_short_70,VSS!,VDDa_pulsed,I83.I7.I35.INSTANCE1.Q1,latpnp,e,c
Defect_short_71,VSS!,VDDa_pulsed,I83.I7.I37.INSTANCE1.Q1,latpnp,e,c
